group_id,model_id,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dependency_num_clauses,metric_avg_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_avg_max_dependency_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
stamp-letter-send,claude-3-5-sonnet-20240620,25,758.12,126.92,88.28,58.88,5.0,4.886740336042658,150.824,25.384,23.024,0.21205783506282877,0.013738065003407511,"[0.6980430953204471, 0.975344203219819, 0.9981120854116764, 0.9993388877599404, 1.0]","[0.09552331061491433, 0.38534295237090854, 0.6946531576378842, 0.8697363248524907, 0.950357527769937]",3.072,5.08,3.321998731418858,9.6,0.05813610136508941,0.003464181571477707,0.16,0.21356789672878426,"[0.1800126103404792, 0.4295175023651845, 0.5394321766561514, 0.5850426001893342, 0.6130050505050505]","[0.004098360655737705, 0.03248186691895301, 0.11735015772870662, 0.246765541180183, 0.37279040404040403]",25
gloom-payment-exist,claude-3-5-sonnet-20240620,25,693.2,115.52,86.08,59.56,4.72,4.865465626055315,147.032,24.61,22.728,0.21454343677485693,0.011429077401352248,"[0.7466954138456072, 0.9941994557283738, 1.0, 1.0, 1.0]","[0.10492238948364706, 0.42665122490210816, 0.7791439258086773, 0.9483220109588654, 0.9865704248453608]",3.942,5.92,3.2007928662425016,9.72,0.052866145571072894,0.0022826789675175884,0.12,0.21425682963196407,"[0.1956371191135734, 0.4229303775545549, 0.507969507969508, 0.5407279029462738, 0.5634535367545076]","[0.004501385041551247, 0.038794596466920676, 0.14137214137214138, 0.2880415944540728, 0.41123439667128986]",25
petrol-diesel-pump,claude-3-5-sonnet-20240620,25,659.6,112.32,84.88,53.96,4.96,4.754764716417825,132.51,22.682,21.402,0.21103571004249652,0.011152006787218343,"[0.75856963837437, 0.9890455465467708, 1.0, 1.0, 1.0]","[0.1119522483118514, 0.46948717909782733, 0.8049323367315396, 0.9391774756504541, 0.9795725386221315]",3.5,5.44,3.0379341695716864,8.68,0.06677364607652028,0.004752396243409225,0.16,0.21317560646482372,"[0.2207977207977208, 0.5133594584966156, 0.6033499643620812, 0.6399286987522281, 0.6619115549215406]","[0.004629629629629629, 0.04132525828286427, 0.16286528866714184, 0.33511586452762926, 0.48074179743223966]",25
organ-empire-comply,claude-3-5-sonnet-20240620,25,862.44,141.28,101.48,73.12,5.0,5.012839849661442,171.688,28.256,25.528,0.21462542643529575,0.01230400944160414,"[0.7188798470321278, 0.9848893234279146, 0.9994140833067008, 1.0, 1.0]","[0.08426626402038243, 0.33785019467075755, 0.6446672915967556, 0.8470224749138997, 0.940950819956441]",4.224,6.52,3.554429746284049,10.28,0.0854202538728714,0.002077946882375883,0.2,0.21538584058989124,"[0.23477768337581423, 0.5356940509915015, 0.6650609237744404, 0.7154195011337868, 0.743124468386731]","[0.0036816765788728408, 0.031161473087818695, 0.1141966562765656, 0.26360544217687076, 0.4289764672526226]",25
