group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dependency_num_clauses,metric_avg_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_avg_max_dependency_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",25,764.64,127.52,88.96,58.96,5.0,4.906600346427534,152.128,25.504,23.144,0.21232736386596923,0.013170736375096482,"[0.009586454628561614, 0.005654283195652878, 0.005308833380597813, 0.005791901545380661]","[0.6996152304985311, 0.9733477966841567, 0.9965140552688948, 0.9990136845079078, 1.0]","[0.09447722612266805, 0.38624158941614395, 0.6975397059928311, 0.866044342364061, 0.9457542423748362]",3.064,5.12,3.3567380357012864,9.6,0.05831864873568217,0.0032168816712091863,0.2,0.2133330008629007,"[0.1863237139272271, 0.43081267649827426, 0.5376647834274952, 0.5814756671899529, 0.6067839195979899]","[0.0040777917189460475, 0.03263256981487292, 0.1189579409918393, 0.24740973312401884, 0.37248743718592964]",25
"['claude-3-5-sonnet-20240620', 'gloom-payment-exist']","['model', 'id']",25,693.2,115.52,86.08,59.56,4.72,4.865465626055315,147.032,24.61,22.728,0.21454343677485693,0.011429077401352248,"[0.008242750297815168, 0.00476452560264665, 0.004394050010420421, 0.0057897556877577906]","[0.7466954138456072, 0.9941994557283738, 1.0, 1.0, 1.0]","[0.10492238948364706, 0.42665122490210816, 0.7791439258086773, 0.9483220109588654, 0.9865704248453608]",3.942,5.92,3.2007928662425016,9.72,0.052866145571072894,0.0022826789675175884,0.12,0.21425682963196407,"[0.1956371191135734, 0.4229303775545549, 0.507969507969508, 0.5407279029462738, 0.5634535367545076]","[0.004501385041551247, 0.038794596466920676, 0.14137214137214138, 0.2880415944540728, 0.41123439667128986]",25
"['claude-3-5-sonnet-20240620', 'petrol-diesel-pump']","['model', 'id']",25,659.6,112.32,84.88,53.96,4.96,4.754764716417825,132.51,22.682,21.402,0.21103571004249652,0.011152006787218343,"[0.004447714217939207, 0.006382105244907689, 0.0065580449860706954, 0.004917200371914895]","[0.75856963837437, 0.9890455465467708, 1.0, 1.0, 1.0]","[0.1119522483118514, 0.46948717909782733, 0.8049323367315396, 0.9391774756504541, 0.9795725386221315]",3.5,5.44,3.0379341695716864,8.68,0.06677364607652028,0.004752396243409225,0.16,0.21317560646482372,"[0.2207977207977208, 0.5133594584966156, 0.6033499643620812, 0.6399286987522281, 0.6619115549215406]","[0.004629629629629629, 0.04132525828286427, 0.16286528866714184, 0.3354723707664884, 0.4814550641940086]",25
"['claude-3-5-sonnet-20240620', 'organ-empire-comply']","['model', 'id']",25,863.52,141.68,101.68,72.28,5.0,5.004910632469318,171.904,28.336,25.664,0.21436181069959345,0.012336565746440705,"[0.005446485981516394, 0.0050294592412696675, 0.006154255245232947, 0.0080429310248624]","[0.7182703590993127, 0.9843295460842265, 0.9994140833067008, 1.0, 1.0]","[0.08375302143745897, 0.34129226999374807, 0.6504204619792167, 0.8510753703877628, 0.9424827876661968]",4.184,6.48,3.561379088507599,10.4,0.08314145108064015,0.0021268281085787843,0.24,0.2149598473864471,"[0.22586109542631283, 0.5261225642473878, 0.6593220338983051, 0.7143260808137892, 0.7444884115319389]","[0.0036702428006775835, 0.031629483196837054, 0.11581920903954802, 0.2608081378920599, 0.42425098925946864]",25
