group_id,model_id,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_n_gram_diversity,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_num_unique_stories,metric_usage,metric_cost
stamp-letter-send,gemini-1.5-flash,24,440.2083333333333,82.20833333333333,56.458333333333336,37.375,3.875,4.232853756521981,113.80277777777778,21.319444444444443,18.11111111111111,0.21155295209250297,0.020316230590021248,"[0.6181640697663714, 0.9478024161013439, 0.996972232674055, 1.0, 1.0]",0.08304833156475122,0.005152782460024194,0.20833333333333334,0.21388926943359435,"[0.17718236819360414, 0.4301772589710333, 0.5977508650519031, 0.674167027260926, 0.71991341991342]",24,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0.0, 'output': 0.0, 'total': 0.0}"
gloom-payment-exist,gemini-1.5-flash,24,416.7916666666667,74.125,54.541666666666664,36.625,3.75,4.504593105578024,113.00416666666666,20.12361111111111,17.992361111111112,0.21238572028565375,0.016500886271736164,"[0.6609921319402269, 0.9487120227680937, 0.9970769392875815, 1.0, 1.0]",0.10779836773872375,0.006850479048024219,0.2916666666666667,0.2150200454936616,"[0.22211584490186692, 0.5282567049808429, 0.7115476760900814, 0.7794822627037392, 0.811031175059952]",24,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0.0, 'output': 0.0, 'total': 0.0}"
petrol-diesel-pump,gemini-1.5-flash,25,502.92,91.08,65.04,46.56,4.48,4.408425520042348,113.364,20.562,18.153333333333332,0.2102138386495972,0.011885291790614372,"[0.6424750956874054, 0.9490999736173531, 0.9925386696431377, 0.9983776844070962, 0.9989830508474576]",0.07921615938345591,0.008444813948374666,0.19999999999999998,0.2138248193539185,"[0.1964555052790347, 0.4933987174651075, 0.6762264150943397, 0.7599093997734995, 0.8024924471299094]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0.0, 'output': 0.0, 'total': 0.0}"
organ-empire-comply,gemini-1.5-flash,25,470.88,84.6,59.32,41.44,4.16,4.437119801333075,114.20266666666667,20.55,18.078666666666667,0.21340911745390417,0.012573208328477584,"[0.6273697620028726, 0.9409098907108757, 0.9929780632212456, 0.9995402298850574, 1.0]",0.057456598083178205,0.004220972389758644,0.08,0.21478754630616798,"[0.17199514366653176, 0.4360323886639676, 0.616848926690968, 0.7151539708265803, 0.7713822456424807]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0.0, 'output': 0.0, 'total': 0.0}"
