group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dep_num_clauses,metric_avg_max_dep_num_clauses,metric_avg_dep_path_length,metric_avg_max_dep_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['human', 'stamp-letter-send']","['sentience', 'id']",44,356.25,69.1590909090909,50.0,25.363636363636363,4.045454545454546,4.007360182974894,89.88939393939394,17.62348484848485,15.71628787878788,0.2045987657896898,0.05561247757280185,"[0.030223696779159776, 0.023259924270080917, 0.03110959701566305, 0.04104982675992014, 0.06095772297073515]","[0.7368202803015726, 0.9692756452213152, 0.9961087794960245, 0.9993091074080185, 1.0]","[0.1808161147110023, 0.5416194777034595, 0.811417425499646, 0.9294812339204656, 0.975462315685002]",2.646590909090909,5.0,2.691658149519923,7.681818181818182,0.17996173775725335,0.016097675460888937,0.8181818181818182,0.21240405577370045,"[0.3012841620019756, 0.8119235836627141, 0.972652388797364, 0.996044825313118, 0.9990108803165183]","[0.005597629239380968, 0.052700922266139656, 0.21482701812191105, 0.47066578773895845, 0.7105176393010221]",44
"['human', 'gloom-payment-exist']","['sentience', 'id']",44,339.3863636363636,65.06818181818181,48.47727272727273,24.545454545454547,3.9545454545454546,4.115700935519489,88.10606060606061,17.00871212121212,15.459848484848486,0.2085044370848754,0.04934593669147626,"[0.018815786896361784, 0.016214438404488864, 0.04965409039230851, 0.041742559329447704, 0.07933331198162503]","[0.7521812840273319, 0.970887553431711, 0.9934983555679072, 0.9970445544653463, 0.999168428470754]","[0.18815118675291131, 0.5831849142184486, 0.8459247420094728, 0.9441422589470356, 0.9803311523409876]",2.6958333333333333,4.7727272727272725,2.7113314462929368,7.909090909090909,0.17942281927417247,0.011453908638156731,0.7954545454545454,0.21347297917616892,"[0.3101155057752888, 0.8147759103641457, 0.9646234676007005, 0.991240364400841, 0.9978969505783386]","[0.0056002800140007, 0.056372549019607844, 0.22276707530647985, 0.49929922915206726, 0.7511391517700666]",44
"['human', 'petrol-diesel-pump']","['sentience', 'id']",44,416.3181818181818,80.29545454545455,56.5,30.068181818181817,4.5227272727272725,4.104293064794407,95.48825757575757,18.506439393939395,16.587878787878786,0.20938771354435046,0.03690984868772691,"[0.011899753141919916, 0.01539453162266487, 0.02118251853248283, 0.02832416397921098, 0.04455227939597456]","[0.7165186241905037, 0.9643739100443518, 0.9949532024405667, 0.9995474359205289, 1.0]","[0.15536943293308, 0.5188947759376353, 0.8138634300188043, 0.940291564087796, 0.9837730980201064]",3.0200757575757575,5.386363636363637,2.7436250960492186,7.818181818181818,0.16466975873670922,0.011337917380415686,0.6818181818181818,0.21485056919394244,"[0.29546742209631727, 0.7931425332955512, 0.963718820861678, 0.9937624043096116, 0.998298355076574]","[0.004532577903682719, 0.044771890053839615, 0.1899092970521542, 0.4505245250921463, 0.7206466250709018]",44
"['human', 'organ-empire-comply']","['sentience', 'id']",44,363.4318181818182,68.63636363636364,50.65909090909091,26.386363636363637,4.068181818181818,4.222792063043229,90.23863636363636,17.198863636363637,15.553030303030303,0.21110889123893273,0.030200990747517375,"[0.01078867208418373, 0.015527426642352989, 0.02528949080168418, 0.012872840870334018, 0.07144096961800626]","[0.7470851502712288, 0.9768889973594371, 0.9981698747174537, 1.0, 1.0]","[0.17986295322265844, 0.5672177977905725, 0.8464085965028697, 0.951554502724843, 0.983825670158835]",2.6893939393939394,4.886363636363637,2.803419472669322,8.386363636363637,0.18523379171121448,0.00882980514062426,0.7272727272727273,0.21488014886631784,"[0.30514096185737977, 0.8082282680822827, 0.9694656488549618, 0.9936918990703851, 0.9990036532713384]","[0.004643449419568822, 0.048772395487723955, 0.21307666777298373, 0.49203187250996017, 0.751245433410827]",44
