group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dep_num_clauses,metric_avg_max_dep_num_clauses,metric_avg_dep_path_length,metric_avg_max_dep_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['human', 'stamp-letter-send']","['model_type', 'id']",51,380.70588235294116,74.03921568627452,52.490196078431374,27.058823529411764,4.215686274509804,4.011526607559357,92.3093837535014,18.108683473389355,16.11419234360411,0.20455703311719864,0.05142543170823653,"[0.02674209163106883, 0.021553989134385557, 0.026786595603314624, 0.03301159064548964, 0.04307561585470209, 0.10222250521183014]","[0.722159630932124, 0.9681768793026947, 0.9962254914890396, 0.9994039358029964, 1.0]","[0.16773972818051916, 0.5219385021428045, 0.7996103534002179, 0.9238113733392989, 0.9725332031622835]",2.8053688141923434,5.235294117647059,2.7434492505627857,8.058823529411764,0.17872541067647,0.01635181296094288,0.8235294117647058,0.21254210467182585,"[0.28158174097664546, 0.7900185824263339, 0.9649495485926712, 0.9946879150066401, 0.9992029755579172]","[0.004246284501061571, 0.04220865410140696, 0.18799787573021773, 0.43771580345285527, 0.6870350690754516]",51
"['human', 'gloom-payment-exist']","['model_type', 'id']",51,334.80392156862746,64.31372549019608,48.13725490196079,24.372549019607842,3.9607843137254903,4.110322395162225,87.21274509803922,16.89183006535948,15.341830065359478,0.20842687629160603,0.047198148559512425,"[0.01850703911727468, 0.01553892432534146, 0.046519536864393175, 0.04133823689033096, 0.0604894628127416]","[0.7579326693605132, 0.9729596986159208, 0.994390738137018, 0.9974502038524556, 0.999282565739474]","[0.1904746840605768, 0.5865573215321808, 0.8496533072418408, 0.9458847843267919, 0.9802438862319112]",2.6447712418300653,4.862745098039215,2.692228535442533,7.784313725490196,0.17895055798923268,0.011374065023672518,0.7843137254901961,0.21345632729734962,"[0.29801526717557253, 0.8029932803909591, 0.9630308585395662, 0.9908312958435208, 0.9978599816569856]","[0.004885496183206107, 0.049175320708613315, 0.20653834402688664, 0.4776894865525672, 0.7407520635891165]",51
"['human', 'petrol-diesel-pump']","['model_type', 'id']",51,435.96078431372547,84.47058823529412,58.490196078431374,31.254901960784313,4.862745098039215,4.091923406502312,93.25037348272642,18.13720821661998,16.26909430438842,0.20912574581520904,0.04243343987245131,"[0.015590245809443518, 0.017073842666833167, 0.020725463540491828, 0.029530504167301245, 0.05738632731417716, 0.040881800394689076]","[0.7121851592613574, 0.963654911447474, 0.994438125989798, 0.9995134356807638, 1.0]","[0.15335779909478062, 0.5141278394811168, 0.8118680645083963, 0.9404104690302675, 0.9833111857085325]",2.9416900093370684,5.411764705882353,2.715731029042005,7.784313725490196,0.1625744670045142,0.012422206904795407,0.6666666666666666,0.21518759698727646,"[0.27452347745234773, 0.7714485003487561, 0.958139534883721, 0.9925564084670854, 0.9979060027919963]","[0.003719200371920037, 0.04022320390606836, 0.17790697674418604, 0.4277739009071877, 0.6954397394136808]",51
"['human', 'organ-empire-comply']","['model_type', 'id']",51,374.84313725490193,70.2156862745098,51.84313725490196,27.274509803921568,4.078431372549019,4.246246353055266,92.02138188608777,17.41083099906629,15.755275443510738,0.21144587968416234,0.02775010263307827,"[0.010672515898351498, 0.01407273770934502, 0.023583906596839947, 0.007984202576628524, 0.056187798479991724, 0.010948696306773614]","[0.7501938900161437, 0.975529939100803, 0.9976460286380575, 1.0, 1.0]","[0.17993097113279966, 0.5671244030980326, 0.844887678169088, 0.9502749972835071, 0.9847511731548269]",2.7373015873015873,4.980392156862745,2.8529367054751615,8.686274509803921,0.18913636834013695,0.009147702224601938,0.7647058823529411,0.21553216946389683,"[0.30179171332586785, 0.7992159059087091, 0.9666666666666667, 0.9924348557018773, 0.9991591928251121]","[0.0041993281075028, 0.042565107812937555, 0.19607843137254902, 0.46959932754272904, 0.725896860986547]",51
