group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dep_num_clauses,metric_avg_max_dep_num_clauses,metric_avg_dep_path_length,metric_avg_max_dep_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['human', 'stamp-letter-send']","['sentience', 'id']",51,381.96078431372547,74.29411764705883,52.6078431372549,27.19607843137255,4.235294117647059,3.99966644425685,91.80135387488329,18.040756302521007,16.055368814192345,0.20480619616759843,0.0510672411456181,"[0.026851421111263186, 0.020690170697633684, 0.027707016847701472, 0.03261863801788378, 0.03699984094171579, 0.06932107685792326]","[0.7246086794608592, 0.9699478775570689, 0.9968021927577824, 0.9994039358029964, 1.0]","[0.17030113453796378, 0.5258768165990217, 0.8018398567022399, 0.9254652498718318, 0.973167401338185]",2.7979458450046684,5.254901960784314,2.7323257674376045,8.058823529411764,0.17916504752402213,0.016129632460486775,0.803921568627451,0.21269858717868714,"[0.2837873578418408, 0.7894179894179895, 0.9663932257210902, 0.9947061937533086, 0.9989409584326184]","[0.00449616503570484, 0.04259259259259259, 0.18814501190791214, 0.4385918475383801, 0.6881122584061424]",51
"['human', 'gloom-payment-exist']","['sentience', 'id']",51,334.80392156862746,64.31372549019608,48.13725490196079,24.372549019607842,3.9607843137254903,4.110322395162225,87.21274509803922,16.89183006535948,15.341830065359478,0.20842687629160603,0.047198148559512425,"[0.01850703911727468, 0.01553892432534146, 0.046519536864393175, 0.04133823689033096, 0.0604894628127416]","[0.7579326693605132, 0.9729596986159208, 0.994390738137018, 0.9974502038524556, 0.999282565739474]","[0.1904746840605768, 0.5865573215321808, 0.8496533072418408, 0.9458847843267919, 0.9802438862319112]",2.6447712418300653,4.862745098039215,2.692228535442533,7.784313725490196,0.17895055798923268,0.01151186641497785,0.7843137254901961,0.2135399859041519,"[0.29780085522296884, 0.8023220287198289, 0.9639364303178484, 0.9908284928156527, 0.9978593272171253]","[0.005192425167990226, 0.050106935533150015, 0.20507334963325183, 0.4763069397737695, 0.7373088685015291]",51
"['human', 'petrol-diesel-pump']","['sentience', 'id']",51,435.96078431372547,84.47058823529412,58.490196078431374,31.254901960784313,4.862745098039215,4.091923406502312,93.25037348272642,18.13720821661998,16.26909430438842,0.20912574581520904,0.04243343987245131,"[0.015590245809443518, 0.017073842666833167, 0.020725463540491828, 0.029530504167301245, 0.05738632731417716, 0.040881800394689076]","[0.7121851592613574, 0.963654911447474, 0.994438125989798, 0.9995134356807638, 1.0]","[0.15335779909478062, 0.5141278394811168, 0.8118680645083963, 0.9404104690302675, 0.9833111857085325]",2.9416900093370684,5.411764705882353,2.715731029042005,7.784313725490196,0.1625744670045142,0.012540854511246797,0.6666666666666666,0.21525196962481924,"[0.27481980934666356, 0.771860465116279, 0.9581297976273552, 0.9925546765937645, 0.9979055154759134]","[0.003952569169960474, 0.03953488372093023, 0.17678529890672248, 0.4304327594229874, 0.6962997440074471]",51
"['human', 'organ-empire-comply']","['sentience', 'id']",51,381.70588235294116,71.25490196078431,52.431372549019606,27.647058823529413,4.098039215686274,4.268676176413882,93.20961718020541,17.58043884220355,15.889589169000933,0.2112578166445741,0.028598226814085255,"[0.010846182529157873, 0.01395896745249115, 0.022890137890115184, 0.01430000242796834, 0.056187798479991724, 0.010948696306773614]","[0.7475292344103116, 0.9762020670878115, 0.9979944162413471, 1.0, 1.0]","[0.1756585253123662, 0.5600241410662229, 0.8396065038978521, 0.9482592377086492, 0.983456315589159]",2.787301587301587,4.980392156862745,2.8713423273673495,8.803921568627452,0.18902190685272216,0.009352317489472137,0.7647058823529411,0.21543706454986492,"[0.3004137931034483, 0.7991169977924945, 0.9677063207286779, 0.9933738266151297, 0.9991714995857498]","[0.004137931034482759, 0.041666666666666664, 0.19044990339497653, 0.4649364991717283, 0.724109362054681]",51
