group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dep_num_clauses,metric_avg_max_dep_num_clauses,metric_avg_dep_path_length,metric_avg_max_dep_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['gemini-1.5', 'stamp-letter-send']","['model_type', 'id']",51,438.3137254901961,78.47058823529412,56.11764705882353,38.21568627450981,4.686274509803922,4.49415285704477,95.16143790849674,17.07777777777778,15.539542483660131,0.20911653053474838,0.018642371705068727,"[0.0059472105196414484, 0.00838465311529424, 0.010020617648328544, 0.014856017172065318]","[0.7194309424162548, 0.9783678034044611, 0.9981904874710325, 0.9997608799617408, 1.0]","[0.14577174132892692, 0.4602058645621963, 0.7516964255560526, 0.9080833288516582, 0.9703667740000256]",1.5232026143790849,3.0392156862745097,2.7923358228202217,7.607843137254902,0.13069415195315492,0.014254430512437874,0.29411764705882354,0.21618499511172734,"[0.24662668665667167, 0.6435891027243189, 0.84, 0.905476369092273, 0.9317158579289645]","[0.0037481259370314842, 0.034741314671332166, 0.12975, 0.3040760190047512, 0.5]",51
"['gemini-1.5', 'gloom-payment-exist']","['model_type', 'id']",51,514.7254901960785,88.07843137254902,64.92156862745098,45.254901960784316,4.823529411764706,4.7433254504777045,107.19444444444444,18.37156862745098,16.984967320261436,0.21203086785257894,0.01620566824544512,"[0.0046679129888362115, 0.009226991086163925, 0.007437605782282181, 0.008992699982737067, 0.1825340986251831]","[0.7412291286451463, 0.9810011557932031, 0.9981785170096859, 0.999400871459695, 0.9997796871557612]","[0.1362036529012171, 0.45004211035316205, 0.7475275547854909, 0.9086339573866216, 0.9703870277029091]",1.9098039215686273,3.6666666666666665,2.9799083383306515,8.156862745098039,0.13297532764135622,0.007682933818704889,0.2549019607843137,0.2158282746103663,"[0.2377560106856634, 0.6390558895568915, 0.823162583518931, 0.8886166184005346, 0.9166666666666666]","[0.003116651825467498, 0.03139612558450234, 0.13630289532293988, 0.3138783693472934, 0.5147058823529411]",51
"['gemini-1.5', 'petrol-diesel-pump']","['model_type', 'id']",51,498.1372549019608,86.49019607843137,63.88235294117647,46.13725490196079,4.921568627450981,4.662068565660728,101.55686274509804,17.663398692810457,16.408823529411766,0.21260923279693716,0.01106540409994433,"[0.005310871000366032, 0.006013692136211698, 0.004656752818136459, 0.006343931604621832]","[0.7396566012585509, 0.9863926869096442, 0.9981016853199837, 0.9992826398852224, 0.999515855725006]","[0.1290763939212397, 0.4375560951920882, 0.7372994904559587, 0.8951564514651826, 0.9598533673031309]",1.9957516339869281,3.7450980392156863,2.93358279046306,8.03921568627451,0.1153562213860306,0.008755377252339575,0.3137254901960784,0.21696416259104945,"[0.2559510315121288, 0.6537414965986394, 0.8362440462689953, 0.8958711433756806, 0.92262309961425]","[0.0031738834731353436, 0.028798185941043084, 0.1152188704921751, 0.28334845735027225, 0.4928522804628999]",51
"['gemini-1.5', 'organ-empire-comply']","['model_type', 'id']",51,503.3529411764706,85.94117647058823,62.92156862745098,45.529411764705884,4.882352941176471,4.7521705536976215,103.35032679738562,17.690196078431374,16.31503267973856,0.21366216309166733,0.01570943236806146,"[0.005309688671307136, 0.0075400749620338665, 0.006773794059049269, 0.011979751148856478]","[0.7333916044256641, 0.9849755709605001, 0.9988626569508923, 1.0, 1.0]","[0.13056244012813834, 0.43209905914273866, 0.7261594802463686, 0.8920293041522592, 0.9602188884159539]",1.934640522875817,3.7058823529411766,3.0039019051814737,8.333333333333334,0.09158964993906957,0.006242527588128525,0.1568627450980392,0.21653429398869983,"[0.21994067989961213, 0.6008671839342766, 0.7847523396484821, 0.8643835616438356, 0.9018040648549898]","[0.0031941592516541184, 0.02738475581926061, 0.11275964391691394, 0.27442922374429224, 0.46631651061886276]",51
