group_id,group_by,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_raw_surprises,metric_avg_n_gram_diversity,metric_avg_pos_diversity,metric_avg_dep_num_clauses,metric_avg_max_dep_num_clauses,metric_avg_dep_path_length,metric_avg_max_dep_path_length,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_corpus_pos_diversity,metric_num_unique_stories
"['human', 'stamp-letter-send']","['model', 'id']",24,357.125,69.0,49.5,24.791666666666668,4.0,4.022145730833078,91.16805555555555,17.822916666666668,15.685416666666667,0.205356228047348,0.05188038500392054,"[0.03746529077604559, 0.02917349463257235, 0.009349482577054107, 0.021766162009091983, 0.014448664531166305]","[0.7330281158382758, 0.9682791596281718, 0.9939058487535302, 0.9987333635813672, 1.0]","[0.18117463097657432, 0.5313785052103827, 0.7988929820091114, 0.9185620514697921, 0.9687144714511411]",2.6069444444444443,4.875,2.613745557133385,7.375,0.17818572145441305,0.01325651210013396,0.8333333333333334,0.2117026637804538,"[0.36116152450090744, 0.8504842615012107, 0.9830405814657783, 0.996969696969697, 1.0]","[0.009679370840895343, 0.0811138014527845, 0.2810417928528165, 0.553939393939394, 0.7665251667677381]",24
"['human', 'gloom-payment-exist']","['model', 'id']",24,338.875,64.79166666666667,49.0,26.0,4.25,4.1243253156413076,82.36597222222223,15.86111111111111,14.384027777777778,0.20974116672424198,0.043665888088185466,"[0.014078976698047195, 0.01189482361971669, 0.03822108028161713, 0.0542261774449439, 0.0604894628127416]","[0.7684317936874945, 0.9820867016257971, 0.9981997144022848, 0.9995567375886525, 1.0]","[0.19112641957601328, 0.5864683310982013, 0.8520413325011404, 0.9546580114890633, 0.9874477349675598]",2.3930555555555557,4.333333333333333,2.6977329417259317,8.083333333333334,0.18083533839039181,0.010661301450297108,0.7916666666666666,0.21412964210626137,"[0.3853092783505155, 0.8671824629271437, 0.9812903225806452, 0.9974176888315042, 1.0]","[0.01095360824742268, 0.09413281753707285, 0.3116129032258064, 0.6132989025177534, 0.834625322997416]",24
"['human', 'petrol-diesel-pump']","['model', 'id']",24,417.625,80.04166666666667,57.583333333333336,31.0,4.416666666666667,4.128000188264801,96.46180555555556,18.58125,16.742361111111112,0.2097295222972931,0.035559419824818944,"[0.011749132087093878, 0.011333279731885538, 0.020527418598918497, 0.03702982868215646, 0.07170472795313056]","[0.7277558694864739, 0.9690021139582379, 0.9979072893521976, 1.0, 1.0]","[0.15017553165981984, 0.5014196705681598, 0.8052052315181232, 0.936671459346426, 0.9808822732145643]",2.8118055555555554,5.25,2.8113380633999663,8.333333333333334,0.16284339194712433,0.00994550242252549,0.7083333333333334,0.21410006680762445,"[0.36724047991653624, 0.8549060542797495, 0.985378590078329, 0.9989550679205852, 1.0]","[0.008346374543557642, 0.07828810020876827, 0.27258485639686686, 0.5600835945663531, 0.799790904338735]",24
"['human', 'organ-empire-comply']","['model', 'id']",24,372.0,70.66666666666667,52.041666666666664,27.083333333333332,3.875,4.167470863278375,95.10208333333334,18.32638888888889,16.441666666666666,0.21139705573900933,0.01900641248783174,"[0.008485681966639928, 0.00893914446313298, 0.008077804766573037, 0.017894298373927926, 0.0035426878266864303]","[0.7466636277049924, 0.9783821041088973, 0.9983435378848207, 1.0, 1.0]","[0.17365928563190433, 0.5666700063528451, 0.8462673613026221, 0.9468195787678539, 0.9818697554944543]",2.977777777777778,5.041666666666667,2.9309598698075043,8.75,0.18995958609857422,0.007889934006449615,0.875,0.21383789818359558,"[0.364441819255759, 0.8587470449172577, 0.9804849201655825, 0.9964497041420118, 1.0]","[0.008269344359125812, 0.07446808510638298, 0.28622117090479005, 0.5887573964497042, 0.8176435760805211]",24
