result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
6a75a984045e,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",373,63,49,34,3,4.7936507936507935,123.66666666666667,21.0,19.0,0.21614444787064552,0.025534311122510034,"[0.0058163876061911035, 0.01971792351631893]","[0.7777777777777778, 1.0, 1.0, 1.0, 1.0]","[0.15873015873015872, 0.45161290322580644, 0.7868852459016393, 0.9333333333333333, 1.0]",4.0,6,3.2811286335539553,11,0.13430241268614065,0.0003015985848457414,0.16666666666666666
5c94b863a797,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",477,90,64,38,4,4.166666666666667,118.5,22.5,20.0,0.2144037953142082,0.0079202830189406,"[0.007661383651723752, 0.004073848327000917, 0.0001451925496862294]","[0.7111111111111111, 0.9775280898876404, 1.0, 1.0, 1.0]","[0.12222222222222222, 0.38202247191011235, 0.6818181818181818, 0.8390804597701149, 0.9302325581395349]",2.5,5,3.3089707652997293,10,0.13771772384643555,0.0031797065280289027,0.14285714285714285
e581e7b8b85c,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",588,107,77,55,5,4.420560747663552,117.6,21.4,19.4,0.208122941099032,0.010461574736294096,"[0.0012301713774055811, 0.001438240313426764, 0.010820960276054614, 0.007433777505701233]","[0.719626168224299, 0.9811320754716981, 1.0, 1.0, 1.0]","[0.102803738317757, 0.3867924528301887, 0.7238095238095238, 0.9038461538461539, 0.9805825242718447]",3.0,4,3.4264713309018417,9,0.12937852092411206,0.015741414958381272,0.16666666666666666
8c67e311b3a9,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",733,130,82,63,5,4.561538461538461,146.6,26.0,22.0,0.20972654108993835,0.01221349174956013,"[0.0022307191834305407, 0.005604175410487439, 0.005636444049222145, 0.010955644855980134]","[0.6307692307692307, 0.9457364341085271, 0.9765625, 0.9921259842519685, 1.0]","[0.08461538461538462, 0.31007751937984496, 0.6015625, 0.8031496062992126, 0.9444444444444444]",1.6,3,4.093451481332249,13,0.1450675129890442,0.012534214976568592,0.16666666666666666
deb07d3826d2,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",348,65,43,29,3,4.2153846153846155,115.33333333333333,21.666666666666668,17.666666666666668,0.21347881112192651,0.003950279316609462,"[0.0024533627912251554, 0.0014969165253843064]","[0.6615384615384615, 0.921875, 0.9841269841269841, 1.0, 1.0]","[0.15384615384615385, 0.375, 0.5873015873015873, 0.7419354838709677, 0.8360655737704918]",2.3333333333333335,3,3.307936507936508,11,0.16059215820353964,0.0050296749125922635,0.25
9025ba9b6908,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",382,80,58,36,3,3.7125,127.33333333333333,26.666666666666668,22.666666666666668,0.20853363568820651,0.04037163721554446,"[0.017199211559452865, 0.023172425656091594]","[0.725, 0.9746835443037974, 1.0, 1.0, 1.0]","[0.1375, 0.5063291139240507, 0.782051282051282, 0.922077922077922, 0.9868421052631579]",2.6666666666666665,6,3.164415619471799,9,0.14763168666673743,0.014920025780032264,0.3333333333333333
527f68d73de6,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",360,66,49,32,4,4.303030303030303,89.25,16.5,14.25,0.20979475302080955,0.013636024792989088,"[0.003662959734598792, 0.0032250228600624042, 0.013566054594822435]","[0.7424242424242424, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4461538461538462, 0.71875, 0.8888888888888888, 0.967741935483871]",1.75,4,2.7772506852203245,7,0.1482501418694206,0.012397791114826195,0.3333333333333333
1cd57e8ba660,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",339,66,46,32,4,3.9696969696969697,84.0,16.5,13.75,0.21067414516883512,0.03750027830784136,"[0.005002090564140915, 0.01848683754603067, 0.032761489351590456]","[0.696969696969697, 0.9692307692307692, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4153846153846154, 0.65625, 0.8253968253968254, 0.9032258064516129]",1.5,3,2.961947682298726,8,0.13310324109118918,0.010639006818775054,0.3333333333333333
3e6dfd718b2b,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",489,95,60,38,5,4.0,97.0,19.0,15.8,0.20903418964546064,0.017731328423206627,"[0.01602389196773152, 0.003651780741555366, 0.013463401605212477, 0.0023235825319138925]","[0.631578947368421, 0.9680851063829787, 1.0, 1.0, 1.0]","[0.11578947368421053, 0.3404255319148936, 0.5913978494623656, 0.7934782608695652, 0.945054945054945]",2.2,4,2.8972438672438674,8,0.1412653845289479,0.013918917865524016,0.25
94e6b6083a31,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",549,96,69,50,4,4.604166666666667,137.25,24.0,21.0,0.20887198798510492,0.010833094204447353,"[0.005152774239197744, 0.000754774610201514, 0.010342092457271773]","[0.71875, 0.9789473684210527, 1.0, 1.0, 1.0]","[0.125, 0.4842105263157895, 0.776595744680851, 0.946236559139785, 1.0]",3.5,5,3.3814723320158104,9,0.13917563531709753,0.014243321186235447,0.2
9e0b837263d1,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",388,73,47,35,3,4.164383561643835,128.66666666666666,24.333333333333332,19.0,0.21013066979015574,0.0088212268895482,"[0.006895871822563432, 0.0019253550669847685]","[0.6438356164383562, 0.9305555555555556, 1.0, 1.0, 1.0]","[0.1095890410958904, 0.3055555555555556, 0.5492957746478874, 0.7714285714285715, 0.927536231884058]",1.0,1,3.4522419315102244,9,0.14099850084470666,0.011725957576133816,0.25
9fdc7b274e16,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",584,101,69,55,5,4.633663366336633,116.8,20.2,19.0,0.2103924839986294,0.01063999988776304,"[0.006456237267225218, 0.008953920519832292, 0.004571687607538122, 0.0012981543809304497]","[0.6831683168316832, 0.94, 0.9696969696969697, 0.9795918367346939, 0.9896907216494846]","[0.10891089108910891, 0.35, 0.5959595959595959, 0.7857142857142857, 0.8969072164948454]",2.8,5,3.237526026604974,10,0.1357814591863881,0.011202329159186508,0.16666666666666666
