group_id,model_id,metric_num_samples,metric_avg_length_in_chars,metric_avg_length_in_words,metric_avg_length_in_unique_words,metric_avg_length_in_concepts,metric_avg_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_avg_dsi,metric_avg_surprise,metric_avg_n_gram_diversity,metric_avg_inv_homogen,metric_avg_novelty,metric_avg_theme_uniqueness,metric_corpus_dsi,metric_corpus_n_gram_diversity,metric_num_unique_stories,metric_usage,metric_cost
stamp-letter-send,human,25,376.92,71.96,51.68,26.52,4.36,4.093020330655781,92.62657142857142,17.880523809523808,16.147333333333332,0.20347439842305676,0.04255327294024787,"[0.6915104836448943, 0.956038259585784, 0.9929545333787227, 0.9977112299465241, 0.9993846153846154]",0.17573892176151276,0.015200769920478639,0.84,0.21095784475399607,"[0.335, 0.8149074537268635, 0.9734734734734735, 0.9964947421131698, 0.999498997995992]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0, 'output': 0, 'total': 0}"
gloom-payment-exist,human,25,341.84,64.92,48.64,25.52,4.0,4.161529622809198,92.05866666666667,17.754666666666665,15.903333333333334,0.20926672838062585,0.043165773039720336,"[0.7206884850969, 0.9676567310683905, 0.9938248792270531, 0.9975510204081632, 0.9991666666666666]",0.1797961316506068,0.010895793808387169,0.96,0.2137492788314448,"[0.35797665369649806, 0.8348164627363738, 0.9710628825820813, 0.994988864142539, 0.9988857938718663]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0, 'output': 0, 'total': 0}"
petrol-diesel-pump,human,25,452.24,85.84,60.96,33.28,5.16,4.180436988870813,91.50257142857143,17.544190476190476,15.903,0.20939895051644988,0.030483232733162162,"[0.6815274535500768, 0.9649025007385326, 0.9948484370383315, 1.0, 1.0]",0.15594293773174286,0.00981447762062251,0.68,0.21392155216396985,"[0.3210239194292908, 0.8194794290512175, 0.9710205795884083, 0.9945378151260504, 0.9995796553173603]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0, 'output': 0, 'total': 0}"
organ-empire-comply,human,25,364.6,67.92,50.6,26.44,3.84,4.286188959985253,96.552,18.137999999999998,16.254,0.21280478813327725,0.021366074401135582,"[0.7246199155205226, 0.967924976474475, 0.9940945187820218, 1.0, 1.0]",0.18834075391292573,0.006141817840103259,0.8,0.2149966527276591,"[0.3532258064516129, 0.8262506724045185, 0.9698600645855759, 0.9924609585352719, 0.9983836206896551]",25,"{'input_tokens': 0, 'output_tokens': 0, 'total_tokens': 0}","{'input': 0, 'output': 0, 'total': 0}"
